Index,WindCode,Date,Time,FunctionCode,OrderKind,BSFlag,TradePrice,TradeVolume,AskOrder,BidOrder
104,601318.SH,601318,20180716,92501630,0,0,83,583000,200,82192,57851
105,601318.SH,601318,20180716,92501630,0,0,83,583000,400,82192,45418
106,601318.SH,601318,20180716,92501630,0,0,83,583000,1000,82192,73206
107,601318.SH,601318,20180716,92501630,0,0,83,583000,200,82192,74574
108,601318.SH,601318,20180716,92501630,0,0,83,583000,300,82192,77358
109,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,15545
110,601318.SH,601318,20180716,92501630,0,0,83,583000,300,82192,19425
111,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,28377
112,601318.SH,601318,20180716,92501630,0,0,83,583000,1000,82192,50112
113,601318.SH,601318,20180716,92501630,0,0,83,583000,500,82192,50842
114,601318.SH,601318,20180716,92501630,0,0,83,583000,200,82192,59733
115,601318.SH,601318,20180716,92501630,0,0,83,583000,500,82192,60059
116,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,60224
117,601318.SH,601318,20180716,92501630,0,0,83,583000,400,82192,68812
118,601318.SH,601318,20180716,92501630,0,0,83,583000,200,82192,76221
119,601318.SH,601318,20180716,92501630,0,0,83,583000,2000,82192,79113
120,601318.SH,601318,20180716,92501630,0,0,83,583000,2000,82192,79869
121,601318.SH,601318,20180716,92501630,0,0,83,583000,500,82192,80688
122,601318.SH,601318,20180716,92501630,0,0,83,583000,2000,82192,80768
123,601318.SH,601318,20180716,92501630,0,0,83,583000,4900,82192,81857
124,601318.SH,601318,20180716,92501630,0,0,83,583000,1000,84407,81857
125,601318.SH,601318,20180716,92501630,0,0,66,583000,1100,73230,81857
126,601318.SH,601318,20180716,92501630,0,0,66,583000,600,74205,81857
127,601318.SH,601318,20180716,92501630,0,0,66,583000,400,78031,81857
128,601318.SH,601318,20180716,92501630,0,0,66,583000,2000,78031,82389
129,601318.SH,601318,20180716,92501630,0,0,66,583000,2600,78031,82669
130,601318.SH,601318,20180716,92501630,0,0,83,583000,1400,85149,82669
131,601318.SH,601318,20180716,92501630,0,0,66,583000,200,63859,83544
132,601318.SH,601318,20180716,92501630,0,0,66,583000,1800,68180,83544
133,601318.SH,601318,20180716,92501630,0,0,66,583000,500,68180,84532
134,601318.SH,601318,20180716,92501630,0,0,66,583000,700,68180,85077
135,601318.SH,601318,20180716,92501630,0,0,66,583000,300,69145,85077
136,601318.SH,601318,20180716,92501630,0,0,66,583000,700,76002,85077
137,601318.SH,601318,20180716,92501630,0,0,66,583000,300,78857,85077
138,601318.SH,601318,20180716,92501630,0,0,66,583000,600,80994,86702
139,601318.SH,601318,20180716,92501630,0,0,66,583000,1400,54864,86702
140,601318.SH,601318,20180716,92501630,0,0,66,583000,200,54864,60202
141,601318.SH,601318,20180716,92501630,0,0,66,583000,1000,54864,75348
142,601318.SH,601318,20180716,92501630,0,0,66,583000,1000,54864,76678
143,601318.SH,601318,20180716,92501630,0,0,66,583000,1500,54864,77400
144,601318.SH,601318,20180716,92501630,0,0,66,583000,1000,54864,78617
145,601318.SH,601318,20180716,92501630,0,0,66,583000,10000,54864,81996
146,601318.SH,601318,20180716,92501630,0,0,66,583000,200,54864,74191
147,601318.SH,601318,20180716,92501630,0,0,66,583000,300,54864,80281
148,601318.SH,601318,20180716,92501630,0,0,66,583000,500,54864,63848
149,601318.SH,601318,20180716,92501630,0,0,66,583000,100,54864,77266
150,601318.SH,601318,20180716,92501630,0,0,66,583000,600,54864,82650
151,601318.SH,601318,20180716,92501630,0,0,66,583000,3000,54864,85445
152,601318.SH,601318,20180716,92501630,0,0,66,583000,400,54864,74798
153,601318.SH,601318,20180716,92501630,0,0,83,583000,300,54864,3429
154,601318.SH,601318,20180716,92501630,0,0,83,583000,100,54864,40653
155,601318.SH,601318,20180716,92501630,0,0,66,583000,200,54864,62089
156,601318.SH,601318,20180716,92501630,0,0,66,583000,400,54864,81678
157,601318.SH,601318,20180716,92501630,0,0,66,583000,300,54864,81756
158,601318.SH,601318,20180716,92501630,0,0,66,583000,600,54864,71684
159,601318.SH,601318,20180716,92501630,0,0,66,583000,500,54864,72209
160,601318.SH,601318,20180716,92501630,0,0,66,583000,500,54864,72357
161,601318.SH,601318,20180716,92501630,0,0,66,583000,700,54864,74915
162,601318.SH,601318,20180716,92501630,0,0,66,583000,100,54864,75935
163,601318.SH,601318,20180716,92501630,0,0,66,583000,700,54864,76369
164,601318.SH,601318,20180716,92501630,0,0,66,583000,100,54864,81664
165,601318.SH,601318,20180716,92501630,0,0,66,583000,200,54864,84358
166,601318.SH,601318,20180716,92501630,0,0,66,583000,100,54864,84631
167,601318.SH,601318,20180716,92501630,0,0,66,583000,1000,54864,86193
168,601318.SH,601318,20180716,92501630,0,0,66,583000,400,54864,86210
169,601318.SH,601318,20180716,92501630,0,0,66,583000,100,54864,86228
170,601318.SH,601318,20180716,92501630,0,0,66,583000,300,54864,86517
171,601318.SH,601318,20180716,92501630,0,0,83,583000,900,54864,16030
172,601318.SH,601318,20180716,92501630,0,0,83,583000,100,54864,51565
173,601318.SH,601318,20180716,92501630,0,0,66,583000,200,54864,64069
174,601318.SH,601318,20180716,92501630,0,0,66,583000,200,54864,70139
175,601318.SH,601318,20180716,92501630,0,0,66,583000,500,54864,73637
176,601318.SH,601318,20180716,92501630,0,0,66,583000,100,54864,75319
177,601318.SH,601318,20180716,92501630,0,0,66,583000,200,54864,75463
178,601318.SH,601318,20180716,92501630,0,0,66,583000,300,60598,75463
179,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,76918
180,601318.SH,601318,20180716,92501630,0,0,66,583000,5000,60598,78127
181,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,78840
182,601318.SH,601318,20180716,92501630,0,0,66,583000,9000,60598,80728
183,601318.SH,601318,20180716,92501630,0,0,66,583000,5000,60598,82854
184,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,84172
185,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,85170
186,601318.SH,601318,20180716,92501630,0,0,83,583000,400,60598,20061
187,601318.SH,601318,20180716,92501630,0,0,83,583000,100,60598,20901
188,601318.SH,601318,20180716,92501630,0,0,83,583000,500,60598,50843
189,601318.SH,601318,20180716,92501630,0,0,83,583000,100,60598,55294
190,601318.SH,601318,20180716,92501630,0,0,83,583000,200,60598,56809
191,601318.SH,601318,20180716,92501630,0,0,83,583000,300,60598,57385
192,601318.SH,601318,20180716,92501630,0,0,83,583000,100,60598,59356
193,601318.SH,601318,20180716,92501630,0,0,66,583000,500,60598,61847
194,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,61942
195,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,62065
196,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,63107
197,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,63242
198,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,63578
199,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,63672
200,601318.SH,601318,20180716,92501630,0,0,66,583000,300,60598,63821
201,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,64609
202,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,64816
203,601318.SH,601318,20180716,92501630,0,0,66,583000,300,60598,64994
204,601318.SH,601318,20180716,92501630,0,0,66,583000,4700,60598,65069
205,601318.SH,601318,20180716,92501630,0,0,66,583000,800,60598,65201
206,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,65411
207,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,66823
208,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,67057
209,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,68661
210,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,68958
211,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,69124
212,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,69707
213,601318.SH,601318,20180716,92501630,0,0,66,583000,1000,60598,69725
214,601318.SH,601318,20180716,92501630,0,0,66,583000,1000,60598,70054
215,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,70499
216,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,71744
217,601318.SH,601318,20180716,92501630,0,0,66,583000,600,60598,71761
218,601318.SH,601318,20180716,92501630,0,0,66,583000,800,60598,72324
219,601318.SH,601318,20180716,92501630,0,0,66,583000,3000,60598,72330
220,601318.SH,601318,20180716,92501630,0,0,66,583000,3800,60598,72342
221,601318.SH,601318,20180716,92501630,0,0,66,583000,900,60598,72774
222,601318.SH,601318,20180716,92501630,0,0,66,583000,2100,60598,72795
223,601318.SH,601318,20180716,92501630,0,0,66,583000,2200,60598,72819
224,601318.SH,601318,20180716,92501630,0,0,66,583000,1400,60598,73088
225,601318.SH,601318,20180716,92501630,0,0,66,583000,200,60598,73219
226,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,73242
227,601318.SH,601318,20180716,92501630,0,0,66,583000,100,60598,73243
228,601318.SH,601318,20180716,92501630,0,0,66,583000,1900,60598,73364
229,601318.SH,601318,20180716,92501630,0,0,66,583000,200,61506,73364
230,601318.SH,601318,20180716,92501630,0,0,66,583000,200,61802,73364
231,601318.SH,601318,20180716,92501630,0,0,66,583000,100,64257,73364
232,601318.SH,601318,20180716,92501630,0,0,66,583000,200,64691,73364
233,601318.SH,601318,20180716,92501630,0,0,66,583000,100,69010,73364
234,601318.SH,601318,20180716,92501630,0,0,66,583000,300,71838,73364
235,601318.SH,601318,20180716,92501630,0,0,66,583000,200,71838,73381
236,601318.SH,601318,20180716,92501630,0,0,66,583000,100,73080,73381
237,601318.SH,601318,20180716,92501630,0,0,83,583000,3500,74388,73381
238,601318.SH,601318,20180716,92501630,0,0,83,583000,300,74388,73697
239,601318.SH,601318,20180716,92501630,0,0,83,583000,100,74388,74313
240,601318.SH,601318,20180716,92501630,0,0,66,583000,300,74388,74447
241,601318.SH,601318,20180716,92501630,0,0,66,583000,200,74388,74776
242,601318.SH,601318,20180716,92501630,0,0,66,583000,300,74388,74955
243,601318.SH,601318,20180716,92501630,0,0,66,583000,1000,74388,75744
244,601318.SH,601318,20180716,92501630,0,0,66,583000,400,74388,75921
245,601318.SH,601318,20180716,92501630,0,0,66,583000,500,74388,76314
246,601318.SH,601318,20180716,92501630,0,0,66,583000,200,74388,76443
247,601318.SH,601318,20180716,92501630,0,0,66,583000,400,74388,76503
248,601318.SH,601318,20180716,92501630,0,0,83,583000,100,77292,76503
249,601318.SH,601318,20180716,92501630,0,0,83,583000,300,77292,76942
250,601318.SH,601318,20180716,92501630,0,0,83,583000,300,77292,77106
251,601318.SH,601318,20180716,92501630,0,0,66,583000,100,77292,77506
252,601318.SH,601318,20180716,92501630,0,0,66,583000,100,77292,77638
253,601318.SH,601318,20180716,92501630,0,0,66,583000,100,77292,77686
254,601318.SH,601318,20180716,92501630,0,0,66,583000,100,77387,77793
255,601318.SH,601318,20180716,92501630,0,0,66,583000,200,77387,78273
256,601318.SH,601318,20180716,92501630,0,0,66,583000,100,77387,78321
257,601318.SH,601318,20180716,92501630,0,0,66,583000,100,77387,78328
258,601318.SH,601318,20180716,92501630,0,0,66,583000,100,77387,78389
259,601318.SH,601318,20180716,92501630,0,0,66,583000,400,77387,78725
260,601318.SH,601318,20180716,92501630,0,0,66,583000,100,77387,79773
261,601318.SH,601318,20180716,92501630,0,0,66,583000,900,77387,79777
262,601318.SH,601318,20180716,92501630,0,0,66,583000,3000,77387,79822
263,601318.SH,601318,20180716,92501630,0,0,66,583000,200,77387,80525
264,601318.SH,601318,20180716,92501630,0,0,66,583000,1000,77387,81059
265,601318.SH,601318,20180716,92501630,0,0,66,583000,500,77387,81070
266,601318.SH,601318,20180716,92501630,0,0,66,583000,1000,77387,81199
267,601318.SH,601318,20180716,92501630,0,0,66,583000,200,77387,81580
268,601318.SH,601318,20180716,92501630,0,0,66,583000,200,78010,81580
269,601318.SH,601318,20180716,92501630,0,0,66,583000,100,78010,81674
270,601318.SH,601318,20180716,92501630,0,0,66,583000,200,78010,82124
271,601318.SH,601318,20180716,92501630,0,0,66,583000,400,78927,82124
272,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82141,82124
273,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82159,82124
274,601318.SH,601318,20180716,92501630,0,0,83,583000,1200,84074,82124
275,601318.SH,601318,20180716,92501630,0,0,83,583000,400,84074,82424
276,601318.SH,601318,20180716,92501630,0,0,83,583000,500,85823,82424
277,601318.SH,601318,20180716,93000190,0,0,66,583600,100,69192,87615
278,601318.SH,601318,20180716,93000220,0,0,83,583000,100,87664,82424
